Timestamp,Sensor,X,Y,Z
404,Accelerometer 1,-10.04201,-2.19669,-0.62763
423,Accelerometer 1,-9.57129,-2.03978,0.31381
434,Accelerometer 1,-9.64974,-2.11824,0.31381
441,Accelerometer 1,-9.96356,-1.96133,-0.54917
447,Accelerometer 1,-9.80665,-2.27514,0.00000
454,Accelerometer 1,-9.49284,-2.19669,-0.31381
461,Accelerometer 1,-9.72820,-1.88288,0.00000
480,Accelerometer 1,-9.80665,-2.43205,-0.31381
489,Accelerometer 1,-9.72820,-1.96133,-0.31381
496,Accelerometer 1,-9.80665,-1.96133,0.00000
503,Accelerometer 1,-9.64974,-2.27514,0.00000
516,Accelerometer 1,-9.49284,-1.96133,0.00000
533,Accelerometer 1,-9.49284,-2.27514,-0.15691
543,Accelerometer 1,-9.25748,-1.96133,-0.23536
549,Accelerometer 1,-9.72820,-1.80442,0.00000
557,Accelerometer 1,-9.57129,-2.19669,-0.54917
563,Accelerometer 1,-9.64974,-2.27514,-0.39227
570,Accelerometer 1,-9.41438,-2.27514,-0.54917
589,Accelerometer 1,-9.64974,-2.19669,0.00000
600,Accelerometer 1,-9.64974,-1.88288,-0.07845
606,Accelerometer 1,-9.80665,-2.27514,-0.31381
613,Accelerometer 1,-9.57129,-2.11824,0.07845
625,Accelerometer 1,-9.57129,-2.27514,-0.39227
644,Accelerometer 1,-9.57129,-2.43205,-0.15691
654,Accelerometer 1,-9.49284,-2.43205,-0.31381
660,Accelerometer 1,-9.57129,-1.96133,0.78453
667,Accelerometer 1,-9.88510,-2.19669,-0.54917
673,Accelerometer 1,-9.41438,-2.35360,0.23536
680,Accelerometer 1,-9.49284,-2.11824,-0.31381
699,Accelerometer 1,-9.88510,-2.27514,-0.70608
709,Accelerometer 1,-9.57129,-2.03978,0.00000
715,Accelerometer 1,-9.57129,-2.27514,-0.39227
728,Accelerometer 1,-9.64974,-2.43205,-0.15691
734,Accelerometer 1,-9.72820,-2.43205,0.00000
753,Accelerometer 1,-9.49284,-1.88288,0.00000
763,Accelerometer 1,-9.57129,-1.88288,-0.31381
771,Accelerometer 1,-9.64974,-2.35360,-0.31381
777,Accelerometer 1,-9.80665,-2.27514,-0.15691
784,Accelerometer 1,-9.72820,-1.96133,-0.23536
791,Accelerometer 1,-8.94367,-2.11824,-0.23536
808,Accelerometer 1,-9.49284,-2.43205,-0.39227
818,Accelerometer 1,-9.41438,-1.80442,0.07845
825,Accelerometer 1,-9.64974,-2.11824,0.00000
838,Accelerometer 1,-9.72820,-2.19669,0.00000
844,Accelerometer 1,-9.57129,-2.11824,0.00000
863,Accelerometer 1,-9.72820,-2.11824,0.00000
873,Accelerometer 1,-9.49284,-2.03978,0.70608
879,Accelerometer 1,-9.64974,-2.03978,0.00000
886,Accelerometer 1,-9.80665,-2.27514,-0.39227
893,Accelerometer 1,-9.57129,-2.03978,0.00000
900,Accelerometer 1,-9.88510,-2.11824,0.00000
918,Accelerometer 1,-9.57129,-1.96133,-0.39227
928,Accelerometer 1,-9.57129,-1.96133,0.00000
935,Accelerometer 1,-9.57129,-2.19669,-0.70608
948,Accelerometer 1,-9.96356,-2.19669,-0.23536
955,Accelerometer 1,-9.72820,-2.27514,-0.15691
972,Accelerometer 1,-9.80665,-2.03978,0.00000
982,Accelerometer 1,-9.49284,-2.19669,0.23536
989,Accelerometer 1,-9.64974,-2.19669,-0.47072
996,Accelerometer 1,-9.64974,-1.96133,-0.39227
1002,Accelerometer 1,-9.17902,-2.03978,-0.23536
1009,Accelerometer 1,-9.80665,-2.03978,0.00000
1029,Accelerometer 1,-9.72820,-2.03978,-0.23536
1039,Accelerometer 1,-9.57129,-2.35360,-0.78453
1050,Accelerometer 1,-9.41438,-2.11824,0.00000
1057,Accelerometer 1,-9.72820,-2.51050,0.00000
1064,Accelerometer 1,-9.80665,-2.19669,-0.39227
1083,Accelerometer 1,-9.64974,-2.03978,0.00000
1093,Accelerometer 1,-9.80665,-2.27514,-0.15691
1099,Accelerometer 1,-9.88510,-1.96133,0.00000
1106,Accelerometer 1,-9.72820,-2.19669,0.00000
1114,Accelerometer 1,-9.72820,-2.51050,-0.15691
1120,Accelerometer 1,-9.41438,-2.27514,0.00000
1138,Accelerometer 1,-9.49284,-2.11824,-0.86299
1148,Accelerometer 1,-9.57129,-2.35360,-0.39227
1160,Accelerometer 1,-9.64974,-2.19669,0.00000
1167,Accelerometer 1,-9.49284,-1.80442,0.00000
1174,Accelerometer 1,-9.64974,-2.11824,0.07845
1193,Accelerometer 1,-9.49284,-2.03978,-0.07845
1203,Accelerometer 1,-9.25748,-1.80442,-0.23536
1210,Accelerometer 1,-9.49284,-2.19669,0.00000
1217,Accelerometer 1,-9.80665,-1.96133,-0.54917
1223,Accelerometer 1,-9.80665,-2.27514,0.00000
1230,Accelerometer 1,-9.72820,-1.88288,0.00000
1248,Accelerometer 1,-9.80665,-2.27514,0.07845
1258,Accelerometer 1,-9.64974,-1.96133,-0.23536
1283,Accelerometer 1,-9.57129,-2.19669,0.00000
1301,Accelerometer 1,-9.33593,-2.03978,0.00000
1311,Accelerometer 1,-9.64974,-2.03978,-0.23536
1318,Accelerometer 1,-9.57129,-1.96133,0.00000
1325,Accelerometer 1,-9.72820,-2.03978,-0.31381
1332,Accelerometer 1,-9.72820,-2.03978,0.31381
1339,Accelerometer 1,-9.64974,-2.11824,0.00000
1357,Accelerometer 1,-9.80665,-1.96133,-0.31381
1367,Accelerometer 1,-9.80665,-2.51050,-0.39227
1374,Accelerometer 1,-9.64974,-2.35360,-0.47072
1386,Accelerometer 1,-9.72820,-2.35360,0.07845
1392,Accelerometer 1,-9.57129,-2.03978,-0.47072
1412,Accelerometer 1,-9.72820,-2.03978,0.00000
1422,Accelerometer 1,-9.88510,-1.96133,-0.70608
1429,Accelerometer 1,-9.72820,-1.96133,-0.23536
1435,Accelerometer 1,-9.57129,-2.27514,-0.31381
1442,Accelerometer 1,-9.80665,-2.11824,-0.23536
1449,Accelerometer 1,-9.72820,-1.80442,0.07845
1467,Accelerometer 1,-9.72820,-2.11824,0.00000
1476,Accelerometer 1,-9.64974,-2.19669,0.00000
1483,Accelerometer 1,-9.64974,-1.56906,0.00000
1497,Accelerometer 1,-9.88510,-2.03978,0.23536
1503,Accelerometer 1,-9.57129,-1.88288,-0.31381
1521,Accelerometer 1,-10.04201,-2.19669,0.00000
1531,Accelerometer 1,-9.25748,-2.11824,-0.47072
1539,Accelerometer 1,-9.57129,-2.35360,-0.54917
1545,Accelerometer 1,-9.41438,-1.96133,0.00000
1552,Accelerometer 1,-9.80665,-1.96133,0.00000
1559,Accelerometer 1,-9.80665,-2.43205,-0.23536
1577,Accelerometer 1,-9.57129,-2.19669,-0.31381
1588,Accelerometer 1,-9.49284,-2.03978,-0.15691
1600,Accelerometer 1,-9.57129,-2.27514,0.00000
1607,Accelerometer 1,-9.41438,-2.11824,0.00000
1613,Accelerometer 1,-9.80665,-2.27514,-0.15691
1631,Accelerometer 1,-9.80665,-2.11824,-0.23536
1641,Accelerometer 1,-9.57129,-2.03978,-0.62763
1648,Accelerometer 1,-9.49284,-2.51050,-0.31381
1654,Accelerometer 1,-9.80665,-2.51050,-0.62763
1661,Accelerometer 1,-9.72820,-2.19669,-0.47072
1669,Accelerometer 1,-9.72820,-1.88288,0.54917
1688,Accelerometer 1,-9.72820,-2.27514,0.07845
1698,Accelerometer 1,-9.72820,-2.03978,-0.31381
1710,Accelerometer 1,-9.57129,-2.35360,-0.39227
1717,Accelerometer 1,-9.57129,-1.96133,-0.31381
1724,Accelerometer 1,-9.57129,-1.96133,-0.39227
1742,Accelerometer 1,-9.49284,-2.11824,-0.39227
1753,Accelerometer 1,-9.57129,-1.88288,-0.23536
1759,Accelerometer 1,-9.96356,-2.11824,-0.47072
1766,Accelerometer 1,-9.72820,-2.27514,-0.23536
1773,Accelerometer 1,-9.72820,-2.27514,-0.31381
1780,Accelerometer 1,-9.64974,-2.19669,-0.47072
1798,Accelerometer 1,-9.41438,-2.03978,0.00000
1813,Accelerometer 1,-9.72820,-2.03978,0.00000
1819,Accelerometer 1,-9.72820,-2.19669,-0.31381
1826,Accelerometer 1,-9.80665,-2.03978,0.00000
1833,Accelerometer 1,-9.80665,-2.27514,-0.23536
1853,Accelerometer 1,-9.72820,-2.51050,-0.23536
1862,Accelerometer 1,-9.33593,-1.88288,-0.31381
1869,Accelerometer 1,-9.64974,-2.27514,-0.78453
1876,Accelerometer 1,-9.88510,-1.96133,-0.15691
1884,Accelerometer 1,-9.72820,-1.96133,0.15691
1890,Accelerometer 1,-9.33593,-2.27514,-0.54917
1907,Accelerometer 1,-9.64974,-2.35360,0.00000
1924,Accelerometer 1,-9.57129,-1.80442,0.00000
1931,Accelerometer 1,-9.41438,-2.43205,0.00000
1937,Accelerometer 1,-9.49284,-1.80442,0.00000
1944,Accelerometer 1,-9.64974,-2.11824,0.00000
1963,Accelerometer 1,-9.80665,-2.43205,0.15691
1973,Accelerometer 1,-9.72820,-2.19669,0.39227
1979,Accelerometer 1,-9.64974,-1.80442,0.00000
1986,Accelerometer 1,-9.80665,-2.11824,-0.54917
1993,Accelerometer 1,-9.72820,-2.51050,0.07845
1999,Accelerometer 1,-9.88510,-2.11824,-0.23536
2023,Accelerometer 1,-9.72820,-2.11824,0.31381
2034,Accelerometer 1,-9.49284,-2.11824,0.00000
2040,Accelerometer 1,-9.57129,-2.03978,-0.31381
2048,Accelerometer 1,-9.72820,-1.88288,-0.31381
2055,Accelerometer 1,-9.64974,-2.43205,-0.39227
2072,Accelerometer 1,-9.41438,-2.19669,-0.31381
2082,Accelerometer 1,-9.57129,-1.96133,0.00000
2088,Accelerometer 1,-9.88510,-1.96133,0.00000
2096,Accelerometer 1,-9.57129,-2.43205,-0.54917
2103,Accelerometer 1,-9.49284,-2.03978,-0.54917
2109,Accelerometer 1,-9.64974,-2.19669,0.00000
2145,Accelerometer 1,-9.49284,-1.96133,-0.31381
2156,Accelerometer 1,-9.88510,-1.88288,-0.31381
2163,Accelerometer 1,-9.49284,-2.27514,-0.39227
